"","ID","word","nugget","argument","Attack"
"1",4677,"Heimdal","O","B-Organization","DiscoverVulnerability"
"2",4677,"Security","O","I-Organization","DiscoverVulnerability"
"3",4677,"also","B-DiscoverVulnerability","O","DiscoverVulnerability"
"4",4677,"claims","I-DiscoverVulnerability","O","DiscoverVulnerability"
"5",4677,"RIG","O","B-Capabilities","DiscoverVulnerability"
"6",4677,"attempts","O","I-Capabilities","DiscoverVulnerability"
"7",4677,"to","O","I-Capabilities","DiscoverVulnerability"
"8",4677,"exploit","O","I-Capabilities","DiscoverVulnerability"
"9",4677,"vulnerabilities","O","B-Vulnerability","DiscoverVulnerability"
"10",4677,"Internet","O","B-Software","DiscoverVulnerability"
"11",4677,"Explorer","O","I-Software","DiscoverVulnerability"
"12",4677,"Silverlight","O","B-Software","DiscoverVulnerability"
"13",4677,"Flash","O","B-Software","DiscoverVulnerability"
"14",4677,"Player","O","I-Software","DiscoverVulnerability"
"15",4677,"Microsoft","O","B-Software","DiscoverVulnerability"
"16",4677,"Edge","O","I-Software","DiscoverVulnerability"
"17",4677,"CVE-2015-8651","O","B-CVE","DiscoverVulnerability"
"18",4677,"CVE-2015-5122","O","B-CVE","DiscoverVulnerability"
"19",4677,"Flash","O","B-System","DiscoverVulnerability"
"20",4677,"CVE-2016-4117","O","B-CVE","DiscoverVulnerability"
"21",4677,"CVE-2016-1019","O","B-CVE","DiscoverVulnerability"
"22",4677,"CVE-2016-7200","O","B-CVE","DiscoverVulnerability"
"23",4677,"CVE-2016-7201","O","B-CVE","DiscoverVulnerability"
"24",4677,"Microsoft","O","B-Software","DiscoverVulnerability"
"25",4677,"Edge","O","I-Software","DiscoverVulnerability"
"26",4677,"CVE-2016-3298","O","B-CVE","DiscoverVulnerability"
"27",4677,"Internet","O","B-System","DiscoverVulnerability"
"28",4677,"Explorer","O","I-System","DiscoverVulnerability"
"29",4677,"versions","O","B-Version","DiscoverVulnerability"
"30",4677,"9","O","I-Version","DiscoverVulnerability"
"31",4677,"10","O","B-Version","DiscoverVulnerability"
"32",4677,"11","O","B-Version","DiscoverVulnerability"
"33",4677,"CVE-2016-0034","O","B-CVE","DiscoverVulnerability"
"34",5656,"infecting","O","B-Capabilities","DiscoverVulnerability"
"35",5656,"the","O","I-Capabilities","DiscoverVulnerability"
"36",5656,"victim","O","I-Capabilities","DiscoverVulnerability"
"37",5656,"âs","O","I-Capabilities","DiscoverVulnerability"
"38",5656,"installing","O","B-Capabilities","DiscoverVulnerability"
"39",5656,"the","O","I-Capabilities","DiscoverVulnerability"
"40",5656,"Cerber","O","I-Capabilities","DiscoverVulnerability"
"41",5656,"ransomware","O","I-Capabilities","DiscoverVulnerability"
"42",6608,"encrypt","O","B-Capabilities","DiscoverVulnerability"
"43",6608,"user","O","I-Capabilities","DiscoverVulnerability"
