"","ID","word","nugget","argument","Attack"
"1",16,"identifies","B-DiscoverVulnerability","O","DiscoverVulnerability"
"2",19,"has","B-DiscoverVulnerability","O","DiscoverVulnerability"
"3",19,"confirmed","I-DiscoverVulnerability","O","DiscoverVulnerability"
"4",19,"by","O","I-Vulnerability","DiscoverVulnerability"
"5",21,"published","I-DiscoverVulnerability","O","DiscoverVulnerability"
"6",49,"6","O","I-Device","DiscoverVulnerability"
"7",54,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"8",54,"has","B-DiscoverVulnerability","O","DiscoverVulnerability"
"9",54,"confirmed","I-DiscoverVulnerability","O","DiscoverVulnerability"
"10",54,"caused","O","B-Vulnerability","DiscoverVulnerability"
"11",54,"by","O","I-Vulnerability","DiscoverVulnerability"
"12",56,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"13",56,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"14",56,"not","O","B-Vulnerability","DiscoverVulnerability"
"15",56,"the","O","I-Vulnerability","DiscoverVulnerability"
"16",63,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"17",63,"not","O","B-Vulnerability","DiscoverVulnerability"
"18",63,"the","O","I-Vulnerability","DiscoverVulnerability"
"19",65,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"20",65,"the","O","I-Vulnerability","DiscoverVulnerability"
"21",66,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"22",66,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"23",66,"Ã¢Â<U+0080>Â<U+009C>","O","B-Vulnerability","DiscoverVulnerability"
"24",66,"not","O","B-Vulnerability","DiscoverVulnerability"
"25",66,"the","O","I-Vulnerability","DiscoverVulnerability"
"26",88,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"27",88,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"28",88,"not","O","B-Vulnerability","DiscoverVulnerability"
"29",88,"the","O","I-Vulnerability","DiscoverVulnerability"
"30",104,"Find","B-DiscoverVulnerability","O","DiscoverVulnerability"
"31",104,"have","B-DiscoverVulnerability","O","DiscoverVulnerability"
"32",104,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"33",104,"a","O","I-Person","DiscoverVulnerability"
"34",104,"double-spending","O","I-Person","DiscoverVulnerability"
"35",104,"Tether","O","B-Vulnerability","DiscoverVulnerability"
"36",104,"that","O","I-Vulnerability","DiscoverVulnerability"
"37",104,"could","O","I-Vulnerability","DiscoverVulnerability"
"38",104,"exchanges.and","O","B-System","DiscoverVulnerability"
"39",107,"report","B-DiscoverVulnerability","O","DiscoverVulnerability"
"40",183,"on","O","I-Vulnerability","DiscoverVulnerability"
"41",183,"be","B-DiscoverVulnerability","O","DiscoverVulnerability"
"42",183,"vulnerable","I-DiscoverVulnerability","O","DiscoverVulnerability"
"43",190,"expose","B-DiscoverVulnerability","O","DiscoverVulnerability"
"44",190,"others","O","B-Vulnerability","DiscoverVulnerability"
"45",191,"have","B-DiscoverVulnerability","O","DiscoverVulnerability"
"46",191,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"47",191,"another","O","B-Person","DiscoverVulnerability"
"48",191,"previous","O","B-Vulnerability","DiscoverVulnerability"
"49",191,"patches","O","I-Vulnerability","DiscoverVulnerability"
"50",191,"have","O","I-Vulnerability","DiscoverVulnerability"
"51",191,"mitigate","B-PatchVulnerability","O","PatchVulnerability"
"52",202,"is","B-DiscoverVulnerability","O","DiscoverVulnerability"
"53",202,"susceptible","I-DiscoverVulnerability","B-Device","DiscoverVulnerability"
"54",202,"to","O","B-Device","DiscoverVulnerability"
"55",202,"a","O","I-Device","DiscoverVulnerability"
"56",202,"RAMpage","O","B-Vulnerability","DiscoverVulnerability"
"57",202,"https://www.xda-developers.com/android-hardware-vulnerability-rampage/Ã<U+0082>Â Ã¢Â<U+0080>Â¦","O","I-Vulnerability","DiscoverVulnerability"
"58",203,"We","O","I-Vulnerability","DiscoverVulnerability"
"59",217,"did","B-DiscoverVulnerability","O","DiscoverVulnerability"
"60",217,"not","I-DiscoverVulnerability","O","DiscoverVulnerability"
"61",218,"Cross-site","O","I-Vulnerability","DiscoverVulnerability"
"62",218,"XSS","O","B-CVE","DiscoverVulnerability"
"63",218,"allows","O","B-Software","DiscoverVulnerability"
"64",218,"remote","O","I-System","DiscoverVulnerability"
"65",218,"attackers","O","I-System","DiscoverVulnerability"
"66",221,"XSS","O","B-CVE","DiscoverVulnerability"
"67",221,"allows","O","B-Software","DiscoverVulnerability"
"68",221,"remote","O","I-System","DiscoverVulnerability"
"69",221,"attackers","O","I-System","DiscoverVulnerability"
"70",249,"addressing","B-PatchVulnerability","O","PatchVulnerability"
"71",262,"amazed","I-DiscoverVulnerability","O","DiscoverVulnerability"
"72",269,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"73",269,"recent","O","B-System","PatchVulnerability"
"74",269,"reported","B-DiscoverVulnerability","B-Vulnerability","DiscoverVulnerability"
"75",269,"by","O","I-Vulnerability","DiscoverVulnerability"
"76",269,"FreeBSD","O","I-Vulnerability","DiscoverVulnerability"
"77",269,".","O","I-Vulnerability","DiscoverVulnerability"
"78",270,"'s","O","B-System","DiscoverVulnerability"
"79",280,"discovered","I-DiscoverVulnerability","O","DiscoverVulnerability"
"80",289,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"81",289,"recent","O","B-System","PatchVulnerability"
"82",289,"reported","B-DiscoverVulnerability","B-Vulnerability","DiscoverVulnerability"
"83",289,"by","O","I-Vulnerability","DiscoverVulnerability"
"84",289,"FreeBSD","O","I-Vulnerability","DiscoverVulnerability"
"85",289,".","O","I-Vulnerability","DiscoverVulnerability"
"86",290,"'s","O","B-System","DiscoverVulnerability"
"87",300,"discovered","I-DiscoverVulnerability","O","DiscoverVulnerability"
"88",312,"APSB15-19","O","I-Software","DiscoverVulnerability"
"89",321,"APSB15-19","O","I-Software","DiscoverVulnerability"
"90",321,"Remote","O","I-Software","DiscoverVulnerability"
"91",321,"...","O","B-Vulnerability","DiscoverVulnerability"
"92",322,")","O","B-Vulnerability","DiscoverVulnerability"
"93",323,"APSB15-19","O","I-Software","DiscoverVulnerability"
"94",323,"Remote","O","I-Software","DiscoverVulnerability"
"95",323,"...","O","B-Vulnerability","DiscoverVulnerability"
"96",324,"APSB15-19","O","I-Software","DiscoverVulnerability"
"97",324,"Remote","O","I-Software","DiscoverVulnerability"
"98",324,"...","O","B-Vulnerability","DiscoverVulnerability"
"99",325,")","O","B-Vulnerability","DiscoverVulnerability"
"100",326,"finds","B-DiscoverVulnerability","O","DiscoverVulnerability"
"101",334,"know","O","B-Vulnerability","DiscoverVulnerability"
"102",361,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"103",361,"iOS","O","B-Person","DiscoverVulnerability"
"104",361,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"105",361,"file","O","B-System","DiscoverVulnerability"
"106",361,"attack","O","I-Software","DiscoverVulnerability"
"107",363,"patch","I-PatchVulnerability","O","PatchVulnerability"
"108",363,"for","O","B-Device","PatchVulnerability"
"109",363,"the","O","I-Device","PatchVulnerability"
