"","ID","word","nugget","argument","Attack"
"1",16,"identifies","B-DiscoverVulnerability","O","DiscoverVulnerability"
"2",19,"has","B-DiscoverVulnerability","O","DiscoverVulnerability"
"3",19,"confirmed","I-DiscoverVulnerability","O","DiscoverVulnerability"
"4",19,"by","O","I-Vulnerability","DiscoverVulnerability"
"5",21,"published","I-DiscoverVulnerability","O","DiscoverVulnerability"
"6",42,"6","O","I-Device","DiscoverVulnerability"
"7",46,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"8",46,"has","B-DiscoverVulnerability","O","DiscoverVulnerability"
"9",46,"confirmed","I-DiscoverVulnerability","O","DiscoverVulnerability"
"10",46,"caused","O","B-Vulnerability","DiscoverVulnerability"
"11",46,"by","O","I-Vulnerability","DiscoverVulnerability"
"12",48,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"13",48,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"14",48,"not","O","B-Vulnerability","DiscoverVulnerability"
"15",48,"the","O","I-Vulnerability","DiscoverVulnerability"
"16",54,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"17",54,"not","O","B-Vulnerability","DiscoverVulnerability"
"18",54,"the","O","I-Vulnerability","DiscoverVulnerability"
"19",55,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"20",55,"the","O","I-Vulnerability","DiscoverVulnerability"
"21",57,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"22",57,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"23",57,"Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â<U+009C>","O","B-Vulnerability","DiscoverVulnerability"
"24",57,"not","O","B-Vulnerability","DiscoverVulnerability"
"25",57,"the","O","I-Vulnerability","DiscoverVulnerability"
"26",73,"Recently","B-DiscoverVulnerability","O","DiscoverVulnerability"
"27",73,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"28",73,"not","O","B-Vulnerability","DiscoverVulnerability"
"29",73,"the","O","I-Vulnerability","DiscoverVulnerability"
"30",83,"Find","B-DiscoverVulnerability","O","DiscoverVulnerability"
"31",83,"have","B-DiscoverVulnerability","O","DiscoverVulnerability"
"32",83,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"33",83,"a","O","I-Person","DiscoverVulnerability"
"34",83,"double-spending","O","I-Person","DiscoverVulnerability"
"35",83,"Tether","O","B-Vulnerability","DiscoverVulnerability"
"36",83,"that","O","I-Vulnerability","DiscoverVulnerability"
"37",83,"could","O","I-Vulnerability","DiscoverVulnerability"
"38",83,"exchanges.and","O","B-System","DiscoverVulnerability"
"39",86,"report","B-DiscoverVulnerability","O","DiscoverVulnerability"
"40",140,"on","O","I-Vulnerability","DiscoverVulnerability"
"41",140,"be","B-DiscoverVulnerability","O","DiscoverVulnerability"
"42",140,"vulnerable","I-DiscoverVulnerability","O","DiscoverVulnerability"
"43",147,"expose","B-DiscoverVulnerability","O","DiscoverVulnerability"
"44",147,"others","O","B-Vulnerability","DiscoverVulnerability"
"45",149,"have","B-DiscoverVulnerability","O","DiscoverVulnerability"
"46",149,"found","I-DiscoverVulnerability","O","DiscoverVulnerability"
"47",149,"another","O","B-Person","DiscoverVulnerability"
"48",149,"previous","O","B-Vulnerability","DiscoverVulnerability"
"49",149,"patches","O","I-Vulnerability","DiscoverVulnerability"
"50",149,"have","O","I-Vulnerability","DiscoverVulnerability"
"51",149,"mitigate","B-PatchVulnerability","O","PatchVulnerability"
"52",159,"is","B-DiscoverVulnerability","O","DiscoverVulnerability"
"53",159,"susceptible","I-DiscoverVulnerability","B-Device","DiscoverVulnerability"
"54",159,"to","O","B-Device","DiscoverVulnerability"
"55",159,"a","O","I-Device","DiscoverVulnerability"
"56",159,"RAMpage","O","B-Vulnerability","DiscoverVulnerability"
"57",159,"https://www.xda-developers.com/android-hardware-vulnerability-rampage/Ã<U+0083>Â<U+0082>Ã<U+0082>Â Ã<U+0083>Â¢Ã<U+0082>Â<U+0080>Ã<U+0082>Â¦","O","I-Vulnerability","DiscoverVulnerability"
"58",161,"We","O","I-Vulnerability","DiscoverVulnerability"
"59",175,"did","B-DiscoverVulnerability","O","DiscoverVulnerability"
"60",175,"not","I-DiscoverVulnerability","O","DiscoverVulnerability"
"61",177,"Cross-site","O","I-Vulnerability","DiscoverVulnerability"
"62",177,"XSS","O","B-CVE","DiscoverVulnerability"
"63",177,"allows","O","B-Software","DiscoverVulnerability"
"64",177,"remote","O","I-System","DiscoverVulnerability"
"65",177,"attackers","O","I-System","DiscoverVulnerability"
"66",181,"XSS","O","B-CVE","DiscoverVulnerability"
"67",181,"allows","O","B-Software","DiscoverVulnerability"
"68",181,"remote","O","I-System","DiscoverVulnerability"
"69",181,"attackers","O","I-System","DiscoverVulnerability"
"70",197,"addressing","B-PatchVulnerability","O","PatchVulnerability"
"71",206,"amazed","I-DiscoverVulnerability","O","DiscoverVulnerability"
"72",214,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"73",214,"recent","O","B-System","PatchVulnerability"
"74",214,"reported","B-DiscoverVulnerability","B-Vulnerability","DiscoverVulnerability"
"75",214,"by","O","I-Vulnerability","DiscoverVulnerability"
"76",214,"FreeBSD","O","I-Vulnerability","DiscoverVulnerability"
"77",214,".","O","I-Vulnerability","DiscoverVulnerability"
"78",216,"'s","O","B-System","DiscoverVulnerability"
"79",226,"discovered","I-DiscoverVulnerability","O","DiscoverVulnerability"
"80",234,"fixes","B-PatchVulnerability","O","PatchVulnerability"
"81",234,"recent","O","B-System","PatchVulnerability"
"82",234,"reported","B-DiscoverVulnerability","B-Vulnerability","DiscoverVulnerability"
"83",234,"by","O","I-Vulnerability","DiscoverVulnerability"
"84",234,"FreeBSD","O","I-Vulnerability","DiscoverVulnerability"
"85",234,".","O","I-Vulnerability","DiscoverVulnerability"
"86",236,"'s","O","B-System","DiscoverVulnerability"
"87",246,"discovered","I-DiscoverVulnerability","O","DiscoverVulnerability"
"88",254,"APSB15-19","O","I-Software","DiscoverVulnerability"
"89",263,"APSB15-19","O","I-Software","DiscoverVulnerability"
"90",263,"Remote","O","I-Software","DiscoverVulnerability"
"91",263,"...","O","B-Vulnerability","DiscoverVulnerability"
"92",265,")","O","B-Vulnerability","DiscoverVulnerability"
"93",267,"APSB15-19","O","I-Software","DiscoverVulnerability"
"94",267,"Remote","O","I-Software","DiscoverVulnerability"
"95",267,"...","O","B-Vulnerability","DiscoverVulnerability"
"96",268,"APSB15-19","O","I-Software","DiscoverVulnerability"
"97",268,"Remote","O","I-Software","DiscoverVulnerability"
"98",268,"...","O","B-Vulnerability","DiscoverVulnerability"
"99",270,")","O","B-Vulnerability","DiscoverVulnerability"
"100",272,"finds","B-DiscoverVulnerability","O","DiscoverVulnerability"
"101",277,"know","O","B-Vulnerability","DiscoverVulnerability"
"102",301,"discover","B-DiscoverVulnerability","O","DiscoverVulnerability"
"103",301,"iOS","O","B-Person","DiscoverVulnerability"
"104",301,"allowing","O","B-Vulnerability","DiscoverVulnerability"
"105",301,"file","O","B-System","DiscoverVulnerability"
"106",301,"attack","O","I-Software","DiscoverVulnerability"
"107",302,"patch","I-PatchVulnerability","O","PatchVulnerability"
