ID,word,nugget,argument
4677,Heimdal,O,B-Organization
4677,Security,O,I-Organization
4677,also,B-DiscoverVulnerability,O
4677,claims,I-DiscoverVulnerability,O
4677,RIG,O,B-Capabilities
4677,attempts,O,I-Capabilities
4677,to,O,I-Capabilities
4677,exploit,O,I-Capabilities
4677,vulnerabilities,O,B-Vulnerability
4677,Internet,O,B-Software
4677,Explorer,O,I-Software
4677,Silverlight,O,B-Software
4677,Flash,O,B-Software
4677,Player,O,I-Software
4677,Microsoft,O,B-Software
4677,Edge,O,I-Software
4677,CVE-2015-8651,O,B-CVE
4677,CVE-2015-5122,O,B-CVE
4677,Flash,O,B-System
4677,CVE-2016-4117,O,B-CVE
4677,CVE-2016-1019,O,B-CVE
4677,CVE-2016-7200,O,B-CVE
4677,CVE-2016-7201,O,B-CVE
4677,Microsoft,O,B-Software
4677,Edge,O,I-Software
4677,CVE-2016-3298,O,B-CVE
4677,Internet,O,B-System
4677,Explorer,O,I-System
4677,versions,O,B-Version
4677,9,O,I-Version
4677,10,O,B-Version
4677,11,O,B-Version
4677,CVE-2016-0034,O,B-CVE
5656,infecting,O,B-Capabilities
5656,the,O,I-Capabilities
5656,victim,O,I-Capabilities
5656,âs,O,I-Capabilities
5656,installing,O,B-Capabilities
5656,the,O,I-Capabilities
5656,Cerber,O,I-Capabilities
5656,ransomware,O,I-Capabilities
6608,encrypt,O,B-Capabilities
6608,user,O,I-Capabilities
6608,âs,O,I-Capabilities
6608,demand,B-Ransom,O
6608,a,I-Ransom,O
6608,ransom,I-Ransom,O
11613,vulnerabilities,O,B-Vulnerability
11613,already,B-PatchVulnerability,O
11613,patched,I-PatchVulnerability,O
11613,the,O,B-Organization
11613,software,O,I-Organization
11613,developer,O,I-Organization
881,Sucuri,O,B-Organization
881,detected,B-DiscoverVulnerability,O
881,the,O,B-Vulnerability
881,vulnerability,O,I-Vulnerability
881,became,B-DiscoverVulnerability,O
881,public,I-DiscoverVulnerability,O
881,last,O,B-Time
881,Monday,O,I-Time
1880,a,O,B-Vulnerability
1880,vulnerability,O,I-Vulnerability
1880,the,O,B-System
1880,WordPress,O,I-System
1880,REST,O,I-System
1880,API,O,I-System
1880,the,O,B-Person
1880,WordPress,O,I-Person
1880,team,O,I-Person
1880,fixed,B-PatchVulnerability,O
1880,almost,O,B-Time
1880,two,O,I-Time
1880,weeks,O,I-Time
1880,ago,O,I-Time
