ID,word,nugget,argument
16,identifies,B-DiscoverVulnerability,O
19,has,B-DiscoverVulnerability,O
19,confirmed,I-DiscoverVulnerability,O
19,by,O,I-Vulnerability
21,published,I-DiscoverVulnerability,O
49,6,O,I-Device
54,Recently,B-DiscoverVulnerability,O
54,has,B-DiscoverVulnerability,O
54,confirmed,I-DiscoverVulnerability,O
54,caused,O,B-Vulnerability
54,by,O,I-Vulnerability
56,Recently,B-DiscoverVulnerability,O
56,found,I-DiscoverVulnerability,O
56,not,O,B-Vulnerability
56,the,O,I-Vulnerability
63,found,I-DiscoverVulnerability,O
63,not,O,B-Vulnerability
63,the,O,I-Vulnerability
65,found,I-DiscoverVulnerability,O
65,the,O,I-Vulnerability
66,Recently,B-DiscoverVulnerability,O
66,found,I-DiscoverVulnerability,O
66,Ã¢ÂÂ,O,B-Vulnerability
66,not,O,B-Vulnerability
66,the,O,I-Vulnerability
88,Recently,B-DiscoverVulnerability,O
88,found,I-DiscoverVulnerability,O
88,not,O,B-Vulnerability
88,the,O,I-Vulnerability
104,Find,B-DiscoverVulnerability,O
104,have,B-DiscoverVulnerability,O
104,found,I-DiscoverVulnerability,O
104,a,O,I-Person
104,double-spending,O,I-Person
104,Tether,O,B-Vulnerability
104,that,O,I-Vulnerability
104,could,O,I-Vulnerability
104,exchanges.and,O,B-System
107,report,B-DiscoverVulnerability,O
183,on,O,I-Vulnerability
183,be,B-DiscoverVulnerability,O
183,vulnerable,I-DiscoverVulnerability,O
190,expose,B-DiscoverVulnerability,O
190,others,O,B-Vulnerability
191,have,B-DiscoverVulnerability,O
191,found,I-DiscoverVulnerability,O
191,another,O,B-Person
191,previous,O,B-Vulnerability
191,patches,O,I-Vulnerability
191,have,O,I-Vulnerability
191,mitigate,B-PatchVulnerability,O
202,is,B-DiscoverVulnerability,O
202,susceptible,I-DiscoverVulnerability,B-Device
202,to,O,B-Device
202,a,O,I-Device
202,RAMpage,O,B-Vulnerability
202,https://www.xda-developers.com/android-hardware-vulnerability-rampage/ÃÂ Ã¢ÂÂ¦,O,I-Vulnerability
203,We,O,I-Vulnerability
217,did,B-DiscoverVulnerability,O
217,not,I-DiscoverVulnerability,O
